_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
1875;to take notes;['to take notes'];[('to', ['V TO']), ('take', ['V INF']), ('notes', ['N 3pl', 'N 3sg'])];['T0 T200 T3200'];['take', 'note'];[('take', ['V INF']), ('note', ['N 3pl', 'N 3sg'])];[('take', 'V'), ('note', 'N')];(sich) Notizen machen;[['Notizen machen'], ['sich Notizen machen']];[''];[['6286 646'], ['84 6286 646']];[''];[''];aktiv;5/A3;II;ph;Listen and *take notes*.;;[]
1876;headline;['headline'];[('headline', ['N 3sg'])];['H3450000'];['headline'];[('headline', ['N 3sg'])];[('headline', 'N')];Schlagzeile;[['Schlagzeile']];[''];['85485'];[''];[''];aktiv;5/A4;II;s;*headline* = title;;[]
1877;entertaining;['entertaining'];[('entertaining', ['A'])];['E53635520000'];['entertain'];[('entertain', ['A'])];[('entertain', 'A')];unterhaltsam;[['unterhaltsam']];[''];['0627586'];[''];[''];aktiv;5/A4;II;a;*entertaining* ↔ boring;;[]
1878;to refer (back) to;[['to refer to'], ['to refer back to']];[[('to', ['V TO']), ('refer', ['V INF']), ('to', ['V TO'])], [('to', ['V TO']), ('refer', ['V INF']), ('back', ['Adv']), ('to', ['V TO'])]];[['T0 T1600 T0'], ['T0 T1600 T200 T0']];[['refer', 'to'], ['refer', 'back', 'to']];[[('refer', ['V INF']), ('to', ['V TO'])], [('refer', ['V INF']), ('back', ['Adv']), ('to', ['V TO'])]];[[('refer', 'V'), ('to', 'V')], [('refer', 'V'), ('back', 'Adv'), ('to', 'V')]];(zurück)verweisen auf, sich beziehen auf;[['(zurück)verweisen auf'], ['zurückverweisen auf'], ['sich beziehen auf']];[''];[['874  37386 03'], ['87437386 03'], ['84 186 03']];[''];[''];passiv;5/A4;II;ph;;;[]
1879;to protect;['to protect'];[('to', ['V TO']), ('protect', ['V INF'])];['T0 T632300'];['protect'];[('protect', ['V INF'])];[('protect', 'V')];(be)schützen;[['schützen'], ['beschützen']];[''];[['886'], ['1886']];[''];[''];aktiv;5/B1;II;v;How can we *protect* the environment?;;[]
1880;to recycle;['to recycle'];[('to', ['V TO']), ('recycle', ['V INF'])];['T0 T224000'];['recycle'];[('recycle', ['V INF'])];[('recycle', 'V')];wiederverwenden;[['wiederverwenden']];[''];['327373626'];[''];[''];aktiv;5/B1;II;v;It’s a good idea to *recycle* paper.;;['1694', '1693']
1881;to turn off;['to turn off'];[('to', ['V TO']), ('turn', ['V INF']), ('off', ['Part'])];['T0 T650 T10'];['turn', 'off'];[('turn', ['V INF']), ('off', ['Part'])];[('turn', 'V'), ('off', 'Part')];abschalten, ausmachen;[['abschalten'], ['ausmachen']];[''];[['018526'], ['08646']];[''];[''];aktiv;5/B1;II;ph;Please *turn off* the TV.;;[]
1882;by bike;['by bike'];[('by', ['Prep']), ('bike', ['N 3sg'])];['B0 B200'];['by', 'bike'];[('by', ['Prep']), ('bike', ['N 3sg'])];[('by', 'Prep'), ('bike', 'N')];mit dem (Fahr)rad;[['mit dem rad'], ['mit dem Fahrrad']];[''];[['62 26 72'], ['62 26 372']];[''];[''];aktiv;5/B1;II;ph;Let’s go *by bike*.;;['1709', '1711']
1883;that day;['that day'];[('that', ['Det']), ('day', ['N 3sg'])];['T300 T00'];['that', 'day'];[('that', ['Det']), ('day', ['N 3sg'])];[('that', 'Det'), ('day', 'N')];an diesem Tag;[['an diesem Tag']];[''];['06 286 24'];[''];[''];passiv;5/B2;II;ph;;;['1687']
1884;bike doctor;['bike doctor'];[('bike', ['N 3sg']), ('doctor', ['N 3sg'])];['B200 B23600'];['bike', 'doctor'];[('bike', ['N 3sg']), ('doctor', ['N 3sg'])];[('bike', 'N'), ('doctor', 'N')];jemand, der Fahrräder repariert;[['jemand'], ['der Fahrräder repariert']];[''];[['0662'], ['27 3727 71772']];[''];[''];passiv;5/B2;II;s;;;[]
1885;to leave on standby;['to leave on standby'];[('to', ['V TO']), ('leave', ['V INF']), ('on', ['Prep']), ('standby', ['N 3sg'])];['T0 T1000 T5 T353100'];['leave', 'on', 'standby'];[('leave', ['V INF']), ('on', ['Prep']), ('standby', ['N 3sg'])];[('leave', 'V'), ('on', 'Prep'), ('standby', 'N')];im Stand-by-Betrieb lassen;[['im Stand-by-Betrieb lassen']];[''];['06 826211271 586'];[''];[''];passiv;5/B3;II;ph;;;[]
1886;to throw (away);[['to throw'], ['to throw away']];[[('to', ['V TO']), ('throw', ['V INF'])], [('to', ['V TO']), ('throw', ['V INF']), ('away', [['V']])]];[['T0 T6000'], ['T0 T6000 T000']];[['throw'], ['throw', 'away']];[[('throw', ['V INF'])], [('throw', ['V INF']), ('away', [['V']])]];[[('throw', 'V')], [('throw', 'V'), ('away', 'V')]];(weg)werfen;[['werfen'], ['wegwerfen']];[''];[['3736'], ['343736']];[''];[''];aktiv;5/B3;II;irr;;;['1698', '1689']
1887;to stand;['to stand'];[('to', ['V TO']), ('stand', ['V INF'])];['T0 T3530'];['stand'];[('stand', ['V INF'])];[('stand', 'V')];stehen, hier: ertragen, aushalten;[['stehen'], ['ertragen'], ['aushalten']];[''];[['826'], ['072746'], ['08526']];[''];[''];aktiv;5/B4;II;irr;;ID 1395857;['1643']
1888;be allowed to do sth;[['be allowed to do'], ['be allowed to do sth']];[[('be', ['V INF']), ('allowed', ['V PPART WK', 'V PAST WK']), ('to', ['V TO']), ('do', ['V INF'])]];[['B0 B430000 B0 B0'], ['B0 B430000 B0 B0 B30']];[['be', 'allow', 'to', 'do']];[[('be', ['V INF']), ('allow', ['V PPART WK', 'V PAST WK']), ('to', ['V TO']), ('do', ['V INF'])]];[[('be', 'V'), ('allow', 'V'), ('to', 'V'), ('do', 'V')]];etw tun dürfen;[['etw tun dürfen']];[''];['023 26 2736'];[''];[''];aktiv;5/B4;II;ph;I’m sorry. I *wasn’t allowed to go* to your party.;;[]
1889;to take a break;['to take a break'];[('to', ['V TO']), ('take', ['V INF']), ('a', ['Det']), ('break', ['N 3sg'])];['T0 T200 T T6200'];['take', 'a', 'break'];[('take', ['V INF']), ('a', ['Det']), ('break', ['N 3sg'])];[('take', 'V'), ('a', 'Det'), ('break', 'N')];eine Pause machen;[['eine Pause machen']];[''];['06 18 646'];[''];[''];passiv;5/B4;II;ph;;;['1646']
1890;to finish;['to finish'];[('to', ['V TO']), ('finish', ['V INF'])];['T0 T52000'];['finish'];[('finish', ['V INF'])];[('finish', 'V')];(be)enden, aufhören, hier: abschließen;[['enden'], ['beenden'], ['aufhören'], ['abschließen']];[''];[['0626'], ['1626'], ['0376'], ['018586']];[''];[''];aktiv;5/B4;II;v;He *hasn’t finished* his maths homework.;;['1646']
1891;to do the washing-up (BE);['to do the washing-up'];[('to', ['V TO']), ('do', ['V INF']), ('the', ['Det']), ('washing-up', ['N 3sg'])];['T0 T0 T00 T252100000'];['do', 'the', 'washing-up'];[('do', ['V INF']), ('the', ['Det']), ('washing-up', ['N 3sg'])];[('do', 'V'), ('the', 'Det'), ('washing-up', 'N')];abspülen, abwaschen;[['abspülen'], ['abwaschen']];[''];[['018156'], ['01386']];[''];[''];passiv;5/B4;II;ph;;;['1647']
1892;lazy;['lazy'];[('lazy', ['A'])];['L200'];['lazy'];[('lazy', ['A'])];[('lazy', 'A')];faul, träge;[['faul'], ['träge']];[''];[['35'], ['274']];[''];[''];aktiv;5/B4;II;a;Don’t be *lazy*! Help me with the cooking.;;['1648']
1893;TV station;['TV station'];[('TV', ['N 3sg']), ('station', ['N 3sg'])];['T1 T335000'];['TV', 'station'];[('TV', ['N 3sg']), ('station', ['N 3sg'])];[('TV', 'N'), ('station', 'N')];Fernsehsender;[['Fernsehsender']];[''];['37688627'];[''];[''];passiv;5/B4;II;s;;;['1652']
1894;to interview;['to interview'];[('to', ['V TO']), ('interview', ['V INF'])];['T0 T53610000'];['interview'];[('interview', ['V INF'])];[('interview', 'V')];interviewen, befragen;[['interviewen'], ['befragen']];[''];[['0627336'], ['13746']];[''];[''];aktiv;5/B4;II;v;The reporter *is interviewing* a famous actor for the evening news.;ID 4780147;['1653']
1895;news (pl);['news'];[('news', ['N 3pl', 'N 3sg'])];['N200'];['new'];[('new', ['N 3pl', 'N 3sg'])];[('new', 'N')];Neuigkeit, Nachricht, hier: Nachrichtensendung;[['Neuigkeit'], ['Nachricht'], ['Nachrichtensendung']];[''];[['642'], ['64742'], ['64742686264']];[''];[''];aktiv;5/B4;II;s;The reporter is interviewing a famous actor for the evening *news*.;ID 4780147;[]
1896;reporter;['reporter'];[('reporter', ['N 3sg'])];['R1636000'];['reporter'];[('reporter', ['N 3sg'])];[('reporter', 'N')];Reporter/in;[['Reporter'], ['Reporterin']];[''];[['71727'], ['717276']];[''];[''];aktiv;5/B4;II;s;The *reporter* is interviewing a famous actor for the evening news.;ID 4780147;['1713', '1690', '1656', '1680', '1705', '1687', '1694', '1697', '1700']
1897;to have a vote;['to have a vote'];[('to', ['V TO']), ('have', ['V INF']), ('a', ['Det']), ('vote', ['N 3sg'])];['T0 T100 T T300'];['have', 'a', 'vote'];[('have', ['V INF']), ('a', ['Det']), ('vote', ['N 3sg'])];[('have', 'V'), ('a', 'Det'), ('vote', 'N')];abstimmen;[['abstimmen']];[''];['018266'];[''];[''];passiv;5/B4;II;ph;;;['1660']
1898;Congratulations!;['Congratulations'];[('Congratulations', ['N 3pl', 'N 3sg'])];['C52634352000000'];['congratulation'];[('congratulation', ['N 3pl', 'N 3sg'])];[('congratulation', 'N')];Gratuliere!, Glückwunsch!;[['Gratuliere'], ['Glückwunsch']];[''];[['47257'], ['454368']];[''];[''];aktiv;5/B4;II;ph;Well done! *Congratulations!*;;['1662']
1899;may;['may'];[('may', ['V PRES'])];['M00'];['may'];[('may', ['V PRES'])];[('may', 'V')];können, dürfen;[['können'], ['dürfen']];[''];[['466'], ['2736']];[''];[''];aktiv;5/B5;II;v;*May* I open the window?;;[]
1900;advice (no pl);['advice'];[('advice', ['N 3sg'])];['A31200'];['advice'];[('advice', ['N 3sg'])];[('advice', 'N')];Rat, hier: Tipp;[['Rat'], ['Tipp']];[''];[['72'], ['21']];[''];[''];aktiv;5/B6;II;s;;ID 1389818;[]
1901;chewing gum (no pl);['chewing gum'];[('chewing', ['V PROG']), ('gum', ['N 3sg'])];['C520000 C50'];['chew', 'gum'];[('chew', ['V PROG']), ('gum', ['N 3sg'])];[('chew', 'V'), ('gum', 'N')];Kaugummi;[['Kaugummi']];[''];['446'];[''];[''];passiv;5/B6;II;s;;;[]
1902;striped;['striped'];[('striped', ['A'])];['S361300'];['stripe'];[('stripe', ['A'])];[('stripe', 'A')];gestreift;[['gestreift']];[''];['482732'];[''];[''];passiv;5/B6;II;a;;;[]
1903;shirt;['shirt'];[('shirt', ['N 3sg'])];['S6300'];['shirt'];[('shirt', ['N 3sg'])];[('shirt', 'N')];Hemd;[['Hemd']];[''];['062'];[''];[''];aktiv;5/B6;II;s;He’s wearing a *shirt*.;ID 3671290;[]
1904;to vote for sb/sth;[['to vote for'], ['to vote for sb'], ['to vote for sth']];[[('to', ['V TO']), ('vote', ['V INF']), ('for', ['Prep'])]];[['T0 T300 T60'], ['T0 T300 T60 T1'], ['T0 T300 T60 T30']];[['vote', 'for']];[[('vote', ['V INF']), ('for', ['Prep'])]];[[('vote', 'V'), ('for', 'Prep')]];für jdn/etw stimmen;[['für jdn stimmen'], ['für etw stimmen']];[''];[['37 026 8266'], ['37 023 8266']];[''];[''];passiv;5/B7;II;ph;;;['1668']
1905;super (informal);['super'];[('super', [['Adv']])];['S1600'];['super'];[('super', [['Adv']])];[('super', 'Adv')];besonders;[['besonders']];[''];['186278'];[''];[''];passiv;5/B7;II;av;;;[]
1906;to be on;['to be on'];[('to', ['V TO']), ('be', ['V INF']), ('on', ['Prep'])];['T0 T0 T5'];['be', 'on'];[('be', ['V INF']), ('on', ['Prep'])];[('be', 'V'), ('on', 'Prep')];auf dem Programm stehen, laufen;[['auf dem Programm stehen'], ['laufen']];[''];[['03 26 17476 826'], ['536']];[''];[''];passiv;5/B7;II;ph;;;['1673', '1665', '1671', '1682']
1907;to make a fool of sb/oneself;[['to make a fool of'], ['to make a fool of sb'], ['to make a fool of oneself']];[[('to', ['V TO']), ('make', ['V INF']), ('a', ['Det']), ('fool', ['N 3sg']), ('of', ['Prep'])], [('to', ['V TO']), ('make', ['V INF']), ('a', ['Det']), ('fool', ['N 3sg']), ('of', ['Prep']), ('oneself', ['Pron 3sg refl'])]];[['T0 T200 T T400 T1'], ['T0 T200 T T400 T1 T1'], ['T0 T200 T T400 T1 T524100']];[['make', 'a', 'fool', 'of'], ['make', 'a', 'fool', 'of', 'oneself']];[[('make', ['V INF']), ('a', ['Det']), ('fool', ['N 3sg']), ('of', ['Prep'])], [('make', ['V INF']), ('a', ['Det']), ('fool', ['N 3sg']), ('of', ['Prep']), ('oneself', ['Pron 3sg refl'])]];[[('make', 'V'), ('a', 'Det'), ('fool', 'N'), ('of', 'Prep')], [('make', 'V'), ('a', 'Det'), ('fool', 'N'), ('of', 'Prep'), ('oneself', 'Pron')]];jdn/sich lächerlich machen;[['jdn lächerlich machen'], ['jdn/sich lächerlich machen']];[''];[['026 54754 646'], ['02684 54754 646']];[''];[''];passiv;5/B8;II;ph;;;['1676']
1908;to cut out;['to cut out'];[('to', ['V TO']), ('cut', ['V PAST STR', 'V PPART STR', 'V INF']), ('out', ['V INF'])];['T0 T30 T30'];['cut', 'out'];[('cut', ['V PAST STR', 'V PPART STR', 'V INF']), ('out', ['V INF'])];[('cut', 'V'), ('out', 'V')];(her)ausschneiden;[['ausschneiden'], ['herausschneiden']];[''];[['08626'], ['078626']];[''];[''];passiv;5/B8;II;irr;;;[]
1909;bit;['bit'];[('bit', ['N 3sg'])];['B30'];['bit'];[('bit', ['N 3sg'])];[('bit', 'N')];Stück, Teil;[['Stück'], ['Teil']];[''];[['824'], ['25']];[''];[''];aktiv;5/B8;II;s;I think this film is great. I liked the *bit* about snakes best.;;['1678']
1910;to go on;['to go on'];[('to', ['V TO']), ('go', ['V INF']), ('on', [['V']])];['T0 T0 T5'];['go', 'on'];[('go', ['V INF']), ('on', [['V']])];[('go', 'V'), ('on', 'V')];weitergehen, hier: passieren;[['weitergehen'], ['passieren']];[''];[['32746'], ['1876']];[''];[''];aktiv;5/B8;II;irr;What*’s going on* at the moment?;;[]
1911;to cover;['to cover'];[('to', ['V TO']), ('cover', ['V INF'])];['T0 T1600'];['cover'];[('cover', ['V INF'])];[('cover', 'V')];bedecken, hier: sich befassen mit, behandeln;[['bedecken'], ['sich befassen mit'], ['behandeln']];[''];[['1246'], ['84 1386 62'], ['16256']];[''];[''];passiv;5/B8;II;v;;;['1685']
1912;topic;['topic'];[('topic', ['N 3sg'])];['T1200'];['topic'];[('topic', ['N 3sg'])];[('topic', 'N')];Thema;[['Thema']];[''];['26'];[''];[''];aktiv;5/B8;II;s;What *topic* are we going to talk about for our presentation?;;['1685', '1688']
1913;transport (no pl);['transport'];[('transport', ['N 3sg'])];['T65216300'];['transport'];[('transport', ['N 3sg'])];[('transport', 'N')];Transport, Beförderung;[['Transport'], ['Beförderung']];[''];[['2768172'], ['1372764']];[''];[''];aktiv;5/B8;II;s;;;['1685']
1914;waste (no pl);['waste'];[('waste', ['N 3sg'])];['W2300'];['waste'];[('waste', ['N 3sg'])];[('waste', 'N')];Verschwendung, Vergeudung, hier: Abfall;[['Verschwendung'], ['Vergeudung'], ['Abfall']];[''];[['37836264'], ['374264'], ['0135']];[''];[''];aktiv;5/B8;II;s;We are producing too much *waste*.;;['1697', '1696', '1688']
1915;to produce;['to produce'];[('to', ['V TO']), ('produce', ['V INF'])];['T0 T632000'];['produce'];[('produce', ['V INF'])];[('produce', 'V')];herstellen, produzieren;[['herstellen'], ['produzieren']];[''];[['078256'], ['172876']];[''];[''];aktiv;5/B8;II;v;We *are producing* too much waste.;;['1691']
1916;glass (no pl);['glass'];[('glass', ['N 3sg'])];['G4200'];['glass'];[('glass', ['N 3sg'])];[('glass', 'N')];Glas;[['Glas']];[''];['458'];[''];[''];aktiv;5/B8;II;s;;;['1693']
1917;product;['product'];[('product', ['N 3sg'])];['P632300'];['product'];[('product', ['N 3sg'])];[('product', 'N')];Produkt, Erzeugnis;[['Produkt'], ['Erzeugnis']];[''];[['17242'], ['078468']];[''];[''];aktiv;5/B8;II;s;We should buy *products* with less packaging.;;['1696']
1918;less;['less'];[('less', [['A']])];['L200'];['less'];[('less', [['A']])];[('less', 'A')];weniger;[['weniger']];[''];['3647'];[''];[''];aktiv;5/B8;II;a;We should buy products with *less* packaging.;;['1696']
1919;packaging (no pl);['packaging'];[('packaging', ['N 3sg'])];['P22520000'];['package'];[('package', ['N 3sg'])];[('package', 'N')];Verpackungsmaterial;[['Verpackungsmaterial']];[''];['37146486275'];[''];[''];passiv;5/B8;II;s;;;[]
1920;to compost;['to compost'];[('to', ['V TO']), ('compost', ['V INF'])];['T0 T512300'];['compost'];[('compost', ['V INF'])];[('compost', 'V')];kompostieren;[['kompostieren']];[''];['4618276'];[''];[''];passiv;5/B8;II;v;;;['1696']
1921;organic waste;['organic waste'];[('organic', ['A']), ('waste', ['N 3sg'])];['O625200 O2300'];['organic', 'waste'];[('organic', ['A']), ('waste', ['N 3sg'])];[('organic', 'A'), ('waste', 'N')];Biomüll;[['Biomüll']];[''];['165'];[''];[''];passiv;5/B8;II;s;;;['1697', '1696']
1922;to mention;['to mention'];[('to', ['V TO']), ('mention', ['V INF'])];['T0 T535000'];['mention'];[('mention', ['V INF'])];[('mention', 'V')];erwähnen;[['erwähnen']];[''];['07366'];[''];[''];aktiv;5/B8;II;v;I talked to Alex yesterday. He didn’t *mention* his trip to London.;;['1697']
1923;lunch break;['lunch break'];[('lunch', ['N 3sg']), ('break', ['N 3sg'])];['L5200 L6200'];['lunch', 'break'];[('lunch', ['N 3sg']), ('break', ['N 3sg'])];[('lunch', 'N'), ('break', 'N')];Mittagspause;[['Mittagspause']];[''];['624818'];[''];[''];passiv;5/B8;II;s;;;['1699']
1924;as a whole;['as a whole'];[('as', ['Prep']), ('a', ['Det']), ('whole', ['N 3sg'])];['A2 A A4000'];['as', 'a', 'whole'];[('as', ['Prep']), ('a', ['Det']), ('whole', ['N 3sg'])];[('as', 'Prep'), ('a', 'Det'), ('whole', 'N')];als Ganzes (betrachtet);[['als Ganzes'], ['als Ganzes betrachtet']];[''];[['058 4688'], ['058 4688 127422']];[''];[''];passiv;5/B8;II;ph;;;['1700']
1925;behaviour (no pl);['behaviour'];[('behaviour', ['N 3sg'])];['B16000000'];['behaviour'];[('behaviour', ['N 3sg'])];[('behaviour', 'N')];Benehmen, Verhalten, Betragen;[['Benehmen'], ['Verhalten'], ['Betragen']];[''];[['1666'], ['37526'], ['12746']];[''];[''];aktiv;5/B8;II;s;Leaving rubbish in the forest is bad *behaviour*.;;['1706']
1926;by bus;['by bus'];[('by', ['Prep']), ('bus', ['N 3sg'])];['B0 B20'];['by', 'bus'];[('by', ['Prep']), ('bus', ['N 3sg'])];[('by', 'Prep'), ('bus', 'N')];mit dem Bus;[['mit dem Bus']];[''];['62 26 18'];[''];[''];aktiv;5/B8;II;ph;How did you get to the cinema? – We went *by bus*.;;['1710']
1927;to keep warm;['to keep warm'];[('to', ['V TO']), ('keep', ['V INF']), ('warm', ['A'])];['T0 T100 T650'];['keep', 'warm'];[('keep', ['V INF']), ('warm', ['A'])];[('keep', 'V'), ('warm', 'A')];warm halten, nicht frieren;[['warm halten'], ['nicht frieren']];[''];[['376 0526'], ['642 3776']];[''];[''];passiv;5/B9;II;ph;;;[]
1928;central heating (no pl);['central heating'];[('central', ['A']), ('heating', ['V PROG'])];['C536400 C352000'];['central', 'heat'];[('central', ['A']), ('heat', ['V PROG'])];[('central', 'A'), ('heat', 'V')];Zentralheizung;[['Zentralheizung']];[''];['86275864'];[''];[''];passiv;5/B9;II;s;;;[]
1929;to plant;['to plant'];[('to', ['V TO']), ('plant', ['V INF'])];['T0 T4530'];['plant'];[('plant', ['V INF'])];[('plant', 'V')];pflanzen;[['pflanzen']];[''];['135686'];[''];[''];passiv;5/B9;II;v;;;[]
1930;to be off;['to be off'];[('to', ['V TO']), ('be', ['V INF']), ('off', [['V']])];['T0 T0 T10'];['be', 'off'];[('be', ['V INF']), ('off', [['V']])];[('be', 'V'), ('off', 'V')];(weg)gehen;[['gehen'], ['weggehen']];[''];[['46'], ['346']];[''];[''];passiv;5/C2;II;irr;;;[]
1931;they'll (= they will);"[[""they'll""], ['they will']]";"[[(""they'll"", ['NVC 3pl PRES'])], [('they', ['Pron 3pl nom']), ('will', ['V PRES', 'V INF'])]]";[['T400000'], ['T000 T400']];[['they will'], ['they', 'will']];[[('they will', ['NVC 3pl PRES'])], [('they', ['Pron 3pl nom']), ('will', ['V PRES', 'V INF'])]];[[('they will', 'NVC')], [('they', 'Pron'), ('will', 'V')]];sie werden;[['sie werden']];[''];['8 3726'];[''];[''];passiv;5/C2;II;ph;;;['1728']
1932;to make sure (that);[['to make sure'], ['to make sure that']];[[('to', ['V TO']), ('make', ['V INF']), ('sure', ['A'])], [('to', ['V TO']), ('make', ['V INF']), ('sure', ['Adv']), ('that', ['Adv'])]];[['T0 T200 T600'], ['T0 T200 T600 T300']];[['make', 'sure'], ['make', 'sure', 'that']];[[('make', ['V INF']), ('sure', ['A'])], [('make', ['V INF']), ('sure', ['Adv']), ('that', ['Adv'])]];[[('make', 'V'), ('sure', 'A')], [('make', 'V'), ('sure', 'Adv'), ('that', 'Adv')]];darauf achten, (dass);[['darauf achten'], ['darauf achten, dass']];[''];[['273 0426'], ['273 0426  28']];[''];[''];aktiv;5/C2;II;ph;Please *make sure that* you bring enough food for the trip.;;['1718']
1933;sleeping bag;['sleeping bag'];[('sleeping', ['V PROG']), ('bag', ['N 3sg'])];['S4152000 S20'];['sleep', 'bag'];[('sleep', ['V PROG']), ('bag', ['N 3sg'])];[('sleep', 'V'), ('bag', 'N')];Schlafsack;[['Schlafsack']];[''];['85384'];[''];[''];passiv;5/C2;II;s;;;['1718']
1934;cup;['cup'];[('cup', ['N 3sg'])];['C10'];['cup'];[('cup', ['N 3sg'])];[('cup', 'N')];Tasse, Becher;[['Tasse'], ['Becher']];[''];[['28'], ['147']];[''];[''];aktiv;5/C2;II;s;;ID 4780149;['1718']
1935;plate;['plate'];[('plate', ['N 3sg'])];['P4300'];['plate'];[('plate', ['N 3sg'])];[('plate', 'N')];Teller;[['Teller']];[''];['257'];[''];[''];aktiv;5/C2;II;s;;ID 4780149;[]
1936;knife (pl knives);[['knife'], ['knives']];[[('knife', ['N 3sg'])], [('knives', ['N 3pl'])]];[['K5100'], ['K51200']];[['knife'], ['knife']];[[('knife', ['N 3sg'])], [('knife', ['N 3pl'])]];[[('knife', 'N')], [('knife', 'N')]];Messer;[['Messer']];[''];['687'];[''];[''];aktiv;5/C2;II;s;;ID 4780149;['1808', '1810', '1812', '1723', '1813', '1809', '1718', '1824']
1937;fork;['fork'];[('fork', ['N 3sg'])];['F620'];['fork'];[('fork', ['N 3sg'])];[('fork', 'N')];Gabel;[['Gabel']];[''];['415'];[''];[''];aktiv;5/C2;II;s;;ID 4780149;['1718']
1938;spoon;['spoon'];[('spoon', ['N 3sg'])];['S1500'];['spoon'];[('spoon', ['N 3sg'])];[('spoon', 'N')];Löffel;[['Löffel']];[''];['535'];[''];[''];aktiv;5/C2;II;s;;ID 4780149;['1718']
1939;toothbrush;['toothbrush'];[('toothbrush', ['N 3sg'])];['T316200000'];['toothbrush'];[('toothbrush', ['N 3sg'])];[('toothbrush', 'N')];Zahnbürste;[['Zahnbürste']];[''];['861782'];[''];[''];aktiv;5/C2;II;s;;ID 4780156;['1718']
1940;soap;['soap'];[('soap', ['N 3sg'])];['S100'];['soap'];[('soap', ['N 3sg'])];[('soap', 'N')];Seife;[['Seife']];[''];['83'];[''];[''];aktiv;5/C2;II;s;piece of *soap*;ID 4780154;['1718']
1941;meal;['meal'];[('meal', ['N 3sg'])];['M400'];['meal'];[('meal', ['N 3sg'])];[('meal', 'N')];Mahlzeit, Essen;[['Mahlzeit'], ['Essen']];[''];[['6582'], ['086']];[''];[''];aktiv;5/C2;II;s;There will be three *meals*: breakfast, lunch and dinner.;;['1822', '1721']
1942;certain;['certain'];[('certain', ['A'])];['C635000'];['certain'];[('certain', ['A'])];[('certain', 'A')];sicher, gewiss, bestimmt;[['sicher'], ['gewiss'], ['bestimmt']];[''];[['847'], ['438'], ['18262']];[''];[''];aktiv;5/C2;II;a;How old is she? – I think she’s 14 but I’m not *certain*.;;['1722']
1943;medicine (no pl);['medicine'];[('medicine', ['N 3sg'])];['M3250000'];['medicine'];[('medicine', ['N 3sg'])];[('medicine', 'N')];Medizin, Medikamente;[['Medizin'], ['Medikamente']];[''];[['6286'], ['624662']];[''];[''];aktiv;5/C2;II;s;;;['1722']
1944;alcohol (no pl);['alcohol'];[('alcohol', ['N 3sg'])];['A424000'];['alcohol'];[('alcohol', ['N 3sg'])];[('alcohol', 'N')];Alkohol;[['Alkohol']];[''];['0545'];[''];[''];passiv;5/C2;II;s;;;['1723']
1945;pocket knife;['pocket knife'];[('pocket', ['N 3sg']), ('knife', ['N 3sg'])];['P23000 P5100'];['pocket', 'knife'];[('pocket', ['N 3sg']), ('knife', ['N 3sg'])];[('pocket', 'N'), ('knife', 'N')];Taschenmesser;[['Taschenmesser']];[''];['28687'];[''];[''];aktiv;5/C2;II;s;;ID 4780150;['1808', '1723']
1946;to break;['to break'];[('to', ['V TO']), ('break', ['V INF'])];['T0 T6200'];['break'];[('break', ['V INF'])];[('break', 'V')];(zer)brechen, hier: verstoßen gegen;[['brechen'], ['zerbrechen'], ['verstoßen gegen']];[''];[['1746'], ['871746'], ['378286 446']];[''];[''];aktiv;5/C2;II;irr;Try not to *break* the rules.;;['1724', '1766']
1947;to pick up;['to pick up'];[('to', ['V TO']), ('pick', ['V INF']), ('up', ['V INF'])];['T0 T200 T1'];['pick', 'up'];[('pick', ['V INF']), ('up', ['V INF'])];[('pick', 'V'), ('up', 'V')];aufheben, hier: abholen;[['aufheben'], ['abholen']];[''];[['0316'], ['0156']];[''];[''];aktiv;5/C2;II;v;Peter has missed the bus. His father is coming to *pick* him *up*.;;[]
1948;immediately;['immediately'];[('immediately', ['Adv'])];['I5334000000'];['immediately'];[('immediately', ['Adv'])];[('immediately', 'Adv')];sofort, gleich, direkt;[['sofort'], ['gleich'], ['direkt']];[''];[['8372'], ['454'], ['2742']];[''];[''];aktiv;5/C2;II;av;*immediately* ↔ later;;['1724']
1949;village;['village'];[('village', ['N 3sg'])];['V420000'];['village'];[('village', ['N 3sg'])];[('village', 'N')];Dorf;[['Dorf']];[''];['273'];[''];[''];aktiv;5/C2;II;s;*village* ↔ city;;['1725']
1950;to collect;['to collect'];[('to', ['V TO']), ('collect', ['V INF'])];['T0 T423000'];['collect'];[('collect', ['V INF'])];[('collect', 'V')];einsammeln;[['einsammeln']];[''];['068656'];[''];[''];aktiv;5/C2;II;v;;;['1727']
1951;pocket money;['pocket money'];[('pocket', ['N 3sg']), ('money', ['N 3sg'])];['P23000 P5000'];['pocket', 'money'];[('pocket', ['N 3sg']), ('money', ['N 3sg'])];[('pocket', 'N'), ('money', 'N')];Taschengeld;[['Taschengeld']];[''];['286452'];[''];[''];aktiv;5/C2;II;s;My parents give me £5 *pocket money* every week.;;['1727']
